,latitude,longitude,infrastructure_type,source_file
0,40.683999045736066,-89.61715427997463,ramps,Data\Ramp Construction\RampConstruction.geojson
1,40.68399513076625,-89.61696902584612,ramps,Data\Ramp Construction\RampConstruction.geojson
2,40.6841551370991,-89.61696870732358,ramps,Data\Ramp Construction\RampConstruction.geojson
3,40.68415903784415,-89.61715097258117,ramps,Data\Ramp Construction\RampConstruction.geojson
4,40.68492422851195,-89.61712400875152,ramps,Data\Ramp Construction\RampConstruction.geojson
5,40.68492005175035,-89.61696341049608,ramps,Data\Ramp Construction\RampConstruction.geojson
6,40.685054450550126,-89.61694907543121,ramps,Data\Ramp Construction\RampConstruction.geojson
7,40.698861931995815,-89.58121519665215,ramps,Data\Ramp Construction\RampConstruction.geojson
8,40.754312769298714,-89.60299825181585,ramps,Data\Ramp Construction\RampConstruction.geojson
9,40.754310842255656,-89.6027989904125,ramps,Data\Ramp Construction\RampConstruction.geojson
10,40.68598185925305,-89.61811158597182,ramps,Data\Ramp Construction\RampConstruction.geojson
11,40.68582763865825,-89.61809267753647,ramps,Data\Ramp Construction\RampConstruction.geojson
12,40.68597820420186,-89.61829989605083,ramps,Data\Ramp Construction\RampConstruction.geojson
13,40.685837735793996,-89.61830254157238,ramps,Data\Ramp Construction\RampConstruction.geojson
14,40.69037900240065,-89.60372948350194,ramps,Data\Ramp Construction\RampConstruction.geojson
15,40.69019759431449,-89.60373399987421,ramps,Data\Ramp Construction\RampConstruction.geojson
16,40.690371560860406,-89.60395295665178,ramps,Data\Ramp Construction\RampConstruction.geojson
17,40.69021689385793,-89.60395948707762,ramps,Data\Ramp Construction\RampConstruction.geojson
18,40.70853161574419,-89.58742824491566,ramps,Data\Ramp Construction\RampConstruction.geojson
19,40.708545958646226,-89.58758471991388,ramps,Data\Ramp Construction\RampConstruction.geojson
20,40.708409130649265,-89.58745523151765,ramps,Data\Ramp Construction\RampConstruction.geojson
21,40.70840830364127,-89.58758333723853,ramps,Data\Ramp Construction\RampConstruction.geojson
22,40.72803877151782,-89.60330378782511,ramps,Data\Ramp Construction\RampConstruction.geojson
23,40.727927900415764,-89.60331070324227,ramps,Data\Ramp Construction\RampConstruction.geojson
24,40.72792758552611,-89.60312978436238,ramps,Data\Ramp Construction\RampConstruction.geojson
25,40.72803098308523,-89.60310648436194,ramps,Data\Ramp Construction\RampConstruction.geojson
26,40.708545888472834,-89.58876612457411,ramps,Data\Ramp Construction\RampConstruction.geojson
27,40.70856275562297,-89.58891972128976,ramps,Data\Ramp Construction\RampConstruction.geojson
28,40.708420374199484,-89.58878963434829,ramps,Data\Ramp Construction\RampConstruction.geojson
29,40.70842492902864,-89.58891662019929,ramps,Data\Ramp Construction\RampConstruction.geojson
30,40.69400156713838,-89.59416279393827,ramps,Data\Ramp Construction\RampConstruction.geojson
0,40.669639136723006,-89.64112528270043,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
1,40.67425173546695,-89.64111346925642,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
2,40.670050084034656,-89.63833242487696,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
3,40.66916973754841,-89.63996398104895,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
4,40.67076835767614,-89.63831491314103,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
5,40.67132373503512,-89.63914207353763,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
6,40.67041737865634,-89.63985402032182,sidewalks,Data\Sidewalk Construction\SidewalkConstruction.geojson
0,40.73721216971279,-89.56387643082238,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
1,40.82650497441548,-89.62069583136056,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
2,40.75055658708275,-89.65567541354277,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
3,40.725784911039455,-89.6007764316818,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
4,40.7233459712839,-89.62776719414133,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
5,40.72195853564239,-89.61766393461835,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
6,40.68868624744094,-89.6351392110372,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
7,40.73216998664426,-89.56335260415187,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
8,40.81885997159496,-89.62209731600858,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
9,40.74835401654633,-89.62314160569024,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
10,40.72700904205039,-89.56223818278829,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
11,40.72212965960808,-89.55999850913813,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
12,40.729499420072074,-89.58552681726883,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
13,40.670446262064516,-89.64116561184358,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
14,40.66840694096455,-89.64118071572302,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
15,40.70766319968925,-89.60989880354485,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
16,40.74150795660287,-89.64360532248214,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
17,40.81491665297081,-89.62650512350706,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
18,40.67417154395651,-89.63528133595847,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
19,40.74965563815695,-89.63155806737429,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
20,40.7084243481046,-89.61015023175908,residential_reconstruction,Data\Residential Reconstruction\ResidentialRecon.geojson
